Primary Dealer|Holding Company|Ticker|Start Date|End Date|Permco|gvkey
BANKERS TRUST|nan|nan|5/19/1960|7/7/1989|nan|2029
CHEMICAL|nan|nan|5/19/1960|3/31/1989|nan|15197
DISCOUNT CORPORATION OF NEW YORK|nan|nan|5/19/1960|8/10/1993|nan|3689
FIRST CHICAGO|nan|nan|5/19/1960|1/1/1990|nan|4689
IRVING SECURITIES, INC.|nan|nan|5/19/1960|7/31/1989|nan|6186
J.P.MORGAN SECURITIES,INC.|nan|nan|5/19/1960|4/30/2001|nan|2968
MERRILL LYNCH GOVERNMENT SEC. INC.|nan|nan|5/19/1960|2/11/2009|nan|7267
SALOMON BROTHERS INC.|nan|nan|5/19/1960|8/31/1998|nan|6657
CITIBANK|nan|nan|6/15/1961|4/13/1989|nan|3243
BLYTH & CO., INC.|nan|nan|4/16/1962|1/14/1970|nan|30219
FIRST INTERSTATE|nan|nan|7/31/1964|10/31/1986|nan|4710
HARRIS TRUST|nan|nan|7/15/1965|8/31/1988|nan|5491
CHASE MANHATTAN GOVT SECURITIES|nan|nan|7/15/1970|6/30/1987|nan|2943
BANK OF AMERICA NT & SA|nan|nan|11/17/1971|4/15/1994|nan|7647
NUVEEN GOVT SEC. INC.|nan|nan|11/18/1971|8/27/1980|nan|25296
LEHMAN GOVT SEC. INC.|nan|nan|2/22/1973|1/29/1974|nan|30128
NORTHERN TRUST|nan|nan|8/8/1973|5/29/1986|nan|7982
DLJ SECURITIES CORPORATION|nan|nan|3/6/1974|12/31/2000|nan|4037
GOLDMAN, SACHS & CO.|nan|nan|12/4/1974|Current|nan|114628
MIDLAND-MONTAGU GOV. SEC.,INC.|nan|nan|8/13/1975|7/26/1990|nan|7032
PRUDENTIAL-BACHE|nan|nan|10/29/1975|2/24/1991|nan|143356
CARROLL MCENTEE & MCGINLEY INC.|nan|nan|9/29/1976|5/6/1994|nan|7032
LEHMAN|nan|nan|11/25/1976|12/31/1987|nan|30128
PAINE WEBBER INCORPORATED|nan|nan|11/25/1976|12/4/2000|nan|8299
DEAN WITTER REYNOLDS INC.|nan|nan|11/2/1977|4/30/1998|nan|3823
HUTTON|nan|nan|11/2/1977|12/31/1987|nan|5793
MORGAN STANLEY & CO. INCORPORATED|nan|nan|2/1/1978|5/31/2011|nan|12124
KIDDER, PEABODY & CO., INCORPORATED|nan|nan|2/7/1979|12/30/1994|nan|7982
SMITH BARNEY, HARRIS UPHAM & CO.,INC|nan|nan|8/22/1979|8/1/1993|nan|15613
REFCO PARTNERS|nan|nan|11/19/1980|5/7/1987|nan|163770
FIRST N/B OF BOSTON|nan|nan|3/21/1983|11/17/1985|nan|4684
SOUTHERN CALIF S&L ASSOC|nan|nan|6/7/1983|8/5/1983|nan|2612
MANUFACTURERS HANOVER|nan|nan|8/31/1983|7/29/1988|nan|7003
GREENWICH CAPITAL MARKETS, INC.|nan|nan|7/31/1984|4/1/2009|nan|16951
FIRST INTERSTATE CAPITAL MARKETS,INC|nan|nan|11/3/1986|6/17/1988|nan|12124
DAIWA SECURITIES AMERICA INC.|nan|nan|12/11/1986|4/1/2010|nan|15483
L.F.ROTHSCHILD,UNTERBERG,TOWBIN|nan|nan|12/11/1986|5/15/1987|nan|7032
NOMURA SECURITIES INTERNATIONAL,INC|nan|nan|12/11/1986|11/30/2007|nan|177745
SECURITY PACIFIC NATIONAL BANK|nan|nan|12/11/1986|1/17/1991|nan|9577
THOMSON MCKINNON SECURITIES INC.|nan|nan|12/11/1986|7/7/1989|nan|10559
WESTPAC POLLOCK GOVT SECURITIES INC|nan|nan|2/4/1987|6/27/1990|nan|7003
BROPHY,GESTAL, KNIGHT AND CO., L.P.|nan|nan|5/8/1987|6/19/1988|nan|7003
L.F.ROTHSCHILD & CO., INC.|nan|nan|5/18/1987|1/17/1989|nan|12223
CHASE MANHATTAN CAPITAL MARKETS CORP|nan|nan|7/1/1987|12/19/1988|nan|2943
LLOYDS GOVT SECURITIES, INC.|nan|nan|12/22/1987|4/28/1989|nan|15929
SHEARSON LEHMAN|nan|nan|1/1/1988|7/31/1990|nan|12406
DILLON, READ & CO., INC.|nan|nan|6/24/1988|9/2/1997|nan|144496
MANUFACTURERS HANOVER SECURITIES COR|nan|nan|8/1/1988|12/31/1991|nan|7003
HARRIS GOVERNMENT SECURITIES|nan|nan|9/1/1988|12/30/1992|nan|5491
COUNTY NATWEST GOV. SEC., INC.|nan|nan|9/29/1988|1/13/1989|nan|15634
CONTINENTAL BANK, NATIONAL ASSOC.|nan|nan|12/15/1988|8/30/1991|nan|1395
CHASE SECURITIES, INC|nan|nan|12/20/1988|3/31/1996|nan|2943
CHEMICAL SECURITIES, INC.|nan|nan|4/1/1989|12/31/1991|nan|15197
CITICORP SECURITIES MARKETS, INC.|nan|nan|4/14/1989|7/14/1993|nan|3243
BT SECURITIES CORPORATION|nan|nan|7/10/1989|10/22/1997|nan|2029
BNY SECURITIES, INC.|nan|nan|8/1/1989|8/9/1990|nan|2019
BARCLAYS DE ZOETE WEDD GSI|nan|nan|12/7/1989|3/1/1990|nan|12673
UBS SECURITIES INC.|nan|nan|12/7/1989|2/29/1996|nan|144496
FUJI SECURITIES INC.|nan|nan|12/28/1989|3/31/2002|nan|248136
FIRST CHICAGO CAPITAL MARKETS|nan|nan|1/2/1990|3/31/1999|nan|4689
BARCLAYS DE ZOETE WEDD SECURITIES IN|nan|nan|3/2/1990|6/30/1996|nan|114628
SBC GOVERNMENT SECURITIES, INC.|nan|nan|3/29/1990|1/2/1995|nan|248136
LEHMAN GOVERNMENT SECURITIES INC|nan|nan|8/1/1990|8/30/1995|nan|30128
DEUTSCHE BANK GSI|nan|nan|12/13/1990|9/30/1993|nan|15576
PRUDENTIAL SECURITIES INCORPO|nan|nan|2/25/1991|12/1/2000|nan|143356
CHEMICAL SECURITIES INC|nan|nan|1/1/1992|3/31/1996|nan|15197
HARRIS-NESBITT THOMSON SEC., INC.|nan|nan|12/31/1992|9/7/1993|nan|5491
NATIONSBANK OF NORTH CAROLINA, N.A.|nan|nan|7/6/1993|9/30/1993|nan|7647
CITICORP SECURITIES, INC.|nan|nan|7/15/1993|11/30/1998|nan|3243
SMITH BARNEY SHEARSON INC.|nan|nan|8/2/1993|5/31/1994|nan|60841
ZIONS FIRST NATIONAL BANK|nan|nan|8/11/1993|3/31/2002|nan|11687
HARRIS NESBITT THOMSON SEC. INC.|nan|nan|9/8/1993|5/31/1995|nan|5491
DEUTSCHE BANK SECURITIES CORPORATION|nan|nan|10/1/1993|10/31/1995|nan|15577
CS FIRST BOSTON CORPORATION|nan|nan|10/12/1993|12/15/1996|nan|28838
BA SECURITIES, INC.|nan|nan|4/18/1994|9/30/1997|nan|7647
HSBC SECURITIES, INC.|nan|nan|5/9/1994|5/31/1999|nan|15509
SMITH BARNEY INC.|nan|nan|6/1/1994|8/31/1998|nan|60841
NESBITT BURNS SECURITIES INC.|nan|nan|6/1/1995|2/14/2000|nan|15580
LEHMAN BROTHERS INC.|nan|nan|8/31/1995|9/22/2008|nan|12406
DEUTSCHE MORGAN GRENFELL/C.J.|nan|nan|11/1/1995|5/29/1998|nan|15576
UBS SECURITIES LLC|nan|nan|3/1/1996|6/28/1998|nan|144496
CIBC WOOD GUNDY SECURITIES CO|nan|nan|3/27/1996|12/3/1997|nan|15581
